method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
cqr,66,0.90068,2.031595815494583,0.06103988372491265,0.8838837087218459,0.0,
abs,67,0.894875,2.255060984735429,1.1275304923677143,,,
norm,67,0.89134,2.0588761628290992,2.0861251806785774,0.8752,,5e-05
cqr,67,0.90431,2.0521330581168016,0.07130850503602215,0.8858335624828138,0.0,
abs,68,0.89405,2.247799320678356,1.1238996603391789,,,
norm,68,0.889975,2.0503999633858307,2.0775367995926755,0.87375,,5e-05
cqr,68,0.894765,2.0027087585096246,0.04659635523243377,0.8803589730770193,0.0,
abs,69,0.89587,2.2636347993847252,1.1318173996923628,,,
norm,69,0.909695,2.183858098062188,2.212761239188002,0.89395,,5e-05
cqr,69,0.90147,2.035758287262631,0.06312111960893718,0.884133689973252,0.0,
abs,70,0.89393,2.2467439768526276,1.1233719884263138,,,
norm,70,0.906615,2.161322881145485,2.189927770953861,0.890675,,5e-05
cqr,70,0.89939,2.025475972585042,0.05797996227014271,0.8830587705922056,0.0,
abs,71,0.9112,2.413569643427264,1.2067848217136319,,,
norm,71,0.89629,2.091393781675857,2.119073166923032,0.88025,,5e-05
cqr,71,0.90987,2.0834403038275773,0.08696212789141006,0.8892333075019374,0.0,
abs,72,0.896745,2.2710424983006563,1.1355212491503275,,,
norm,72,0.89391,2.0750570206261987,2.102520190492633,0.877875,,5e-05
cqr,72,0.88533,1.9583029454354979,0.0243934486953703,0.8740155511663374,0.0,
abs,73,0.89595,2.2643547032523252,1.1321773516261633,,,
norm,73,0.907635,2.1690160488509935,2.1977227569561237,0.891925,,5e-05
cqr,73,0.89301,1.9940440948877514,0.04226402342149749,0.8792340574456916,0.0,
abs,74,0.902515,2.3240040516383953,1.1620020258191972,,,
norm,74,0.901595,2.1274693844823473,2.155626226685192,0.88595,,5e-05
cqr,74,0.898395,2.0203131111180603,0.05539853153665186,0.8823588230882684,0.0,
abs,75,0.906085,2.358324552519063,1.179162276259531,,,
norm,75,0.903725,2.141646998859702,2.169991480355383,0.88785,,5e-05
cqr,75,0.905815,2.059980814066855,0.07523238301104906,0.8866085043621729,0.0,
abs,76,0.907895,2.3778046838597593,1.18890234192988,,,
norm,76,0.90842,2.1742900904752016,2.203066599987989,0.892825,,5e-05
cqr,76,0.902325,2.0403906356545414,0.06543729380489216,0.8845586581006425,0.0,
abs,77,0.89264,2.2358841762468704,1.1179420881234354,,,
norm,77,0.88603,2.026959820061839,2.053786428341738,0.8698,,5e-05
cqr,77,0.88119,1.9405179185828034,0.015500935269023281,0.8706652998974923,0.0,
abs,78,0.90432,2.3407629504166327,1.170381475208317,,,
norm,78,0.9078,2.1699026290686425,2.1986210709733136,0.892175,,5e-05
cqr,78,0.9016,2.036644312930094,0.06356413244266856,0.8842336824738145,0.0,
abs,79,0.901505,2.315458364644158,1.1577291823220788,,,
norm,79,0.902615,2.1342465803758435,2.1624931180811204,0.886625,,5e-05
cqr,79,0.89839,2.0202722725151716,0.055378112235207444,0.8823588230882684,0.0,
abs,80,0.90432,2.340769021173166,1.1703845105865835,,,
norm,80,0.907175,2.1657035291418656,2.194366396383562,0.8916,,5e-05
cqr,80,0.908195,2.0734540904388403,0.08196902119704197,0.8881083918706097,0.0,
abs,81,0.9103,2.402747053355567,1.201373526677783,,,
norm,81,0.91026,2.188673764601767,2.2176406405873372,0.894525,,5e-05
cqr,81,0.913305,2.1036040834067937,0.0970440176810185,0.8912581556383271,0.0,
abs,82,0.888325,2.197043578608003,1.0985217893040018,,,
norm,82,0.896445,2.0922550616698996,2.1199458458707157,0.88045,,5e-05
cqr,82,0.89414,1.9996297401247904,0.045056846040016474,0.87998400119991,0.0,
abs,83,0.906025,2.3572783167683102,1.1786391583841556,,,
norm,83,0.898865,2.108207676913116,2.136109592363764,0.8831,,5e-05
cqr,83,0.90329,2.0462510448287548,0.06836749839199918,0.8852086093542985,0.0,
abs,84,0.9037,2.334488450064306,1.1672442250321535,,,
